Attributes	open	open	open	open	open	open	open	open	open	open	high	high	high	high	high	high	high	high	high	high	low	low	low	low	low	low	low	low	low	low	close	close	close	close	close	close	close	close	close	close	volume	volume	volume	volume	volume	volume	volume	volume	volume	volume
Symbols	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD
date																																																		
2019-04-22	217.3	56.2	73.13	77.6	177.25	45.24	141.55	269.82	174.45	27.62	219.4	56.5	74.6	79.1	178.25	45.53	144.22	272.32	175.39	28.23	217.27	55.97	73.0	77.5	177.02	44.7	141.09	269.2	169.73	27.39	218.54	56.09	74.51	78.15	178.07	45.34	143.98	272.21	170.08	28.18	1403478	760135	5810683	5358633	1393852	4229733	289487	1364952	878793	36477286
2019-04-23	218.01	56.19	74.63	78.15	178.2	45.6	144.73	272.54	171.09	28.18	219.55	56.44	76.41	79.66	180.55	46.76	147.05	278.89	173.72	28.49	217.18	55.82	74.43	77.75	177.96	45.47	143.4	271.59	170.26	27.79	219.5	56.28	76.1	78.66	180.48	46.51	146.32	278.49	172.47	27.97	1561876	630106	6823550	9920595	1785525	6263448	385791	2693942	924950	41777470
2019-04-24	219.0	56.28	76.05	79.23	180.86	46.45	146.45	279.22	173.29	28.1	219.75	56.49	76.87	79.59	181.41	46.89	147.29	280.17	173.93	28.85	218.1	55.89	75.67	78.44	180.27	46.04	145.52	275.25	171.76	27.93	219.08	56.23	76.75	78.67	180.81	46.75	146.15	275.45	171.86	28.46	2048899	985425	6238700	7056350	1464283	5327783	277483	1867555	915829	51784738
2019-04-25	197.54	56.0	76.62	80.05	180.58	46.66	144.88	278.4	169.8	28.67	198.96	56.04	78.18	80.47	180.58	47.46	146.17	279.52	171.57	28.86	189.6	55.27	76.37	76.91	178.61	46.14	143.93	274.38	165.87	27.36	190.72	55.34	78.11	79.34	179.95	47.41	145.41	277.66	170.64	27.66	14646157	1054591	6011693	10442915	1035343	7637293	224297	1747300	1265048	57329711
2019-04-26	190.53	55.47	78.46	79.67	180.12	47.48	145.24	278.18	170.31	27.66	192.25	55.91	78.57	80.65	180.85	48.48	146.45	282.0	170.73	27.9	189.36	55.33	77.53	79.4	179.09	47.3	145.1	275.79	168.17	27.05	191.67	55.91	78.56	79.7	180.83	48.15	145.8	281.96	170.19	27.88	4491273	692600	4286509	5789966	1010262	6233157	208915	2114205	690672	48827903
2019-04-29	191.52	55.88	78.56	80.46	180.78	48.43	146.34	286.46	169.94	27.9	192.19	56.11	78.63	80.98	181.72	48.98	146.6	291.71	170.56	28.14	189.75	55.52	77.58	79.91	180.64	48.22	145.37	285.38	166.64	27.5	190.21	55.81	78.27	80.3	181.21	48.4	145.92	286.14	166.77	27.69	3803436	1060571	4355001	6444517	1111861	7098558	136400	5592372	810986	44532725
2019-04-30	190.86	53.58	78.27	80.68	181.58	48.41	146.19	286.1	167.41	27.59	190.86	53.96	79.69	80.69	182.83	48.65	146.94	289.77	168.71	27.8	186.55	52.26	77.93	78.68	181.17	47.78	145.57	285.25	165.25	26.94	189.51	52.57	79.56	79.39	182.67	48.21	146.33	289.25	166.32	27.63	4540971	4882437	5514123	9367350	1535810	6906419	300152	3067976	872186	73165869
2019-05-01	189.49	52.43	79.35	79.6	183.2	48.35	146.47	291.0	166.13	28.95	189.71	53.31	79.47	79.68	183.35	49.56	147.44	291.0	166.66	29.15	185.92	52.05	78.29	78.61	181.29	48.24	143.54	283.19	163.67	26.78	186.07	52.5	78.74	78.89	181.31	48.56	144.33	283.35	163.83	26.81	3818525	1846458	6702454	5231917	1242440	9474529	244348	2056176	923175	136066941
2019-05-02	184.5	52.61	78.42	78.73	181.0	48.78	144.38	283.14	164.05	26.94	186.5	53.02	78.87	78.78	182.33	49.83	145.8	284.59	167.21	28.64	183.38	52.03	77.91	77.6	178.49	48.72	143.11	278.15	163.3	26.61	184.75	52.52	78.78	78.47	179.39	49.55	144.53	279.64	166.78	28.29	5654907	1127065	5112210	5206327	1889915	13565613	307136	2482283	1154501	100514792
2019-05-03	185.81	52.81	78.83	78.72	177.03	48.2	144.06	282.56	167.05	28.3	186.69	53.72	79.13	78.8	177.96	48.67	145.92	286.35	167.39	28.42	184.09	52.77	78.26	78.25	176.52	46.16	143.95	282.39	163.19	27.66	185.22	53.64	78.69	78.71	176.98	47.15	145.11	285.58	163.27	28.22	4747767	775563	5452725	4527349	2680151	25671038	395322	1979920	760196	55503062
